ID,Individual Income Tax Diff,Payroll Tax Diff,Wages Diff,AGI Diff,UI in AGI Diff,OASDI in AGI Diff,Itemized Deductions Diff,Taxable Inc Diff,CTC Diff,CTC Refundable Diff,Child care credit Diff,EITC Diff,AMT Taxable Income Diff,AMT Liability Diff,Net Investment Income Tax Diff,Income Tax Before Credits Diff,FICA Diff,Payroll Tax MTR Diff,Income Tax MTR Diff,Combined MTR Diff
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,-384.79,0.00,0.00,0.00,0.00,0.00,0.00,-1669.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-384.79,0.00,0.00,-0.03,-0.03
3.00,-1433.59,0.00,0.00,0.00,0.00,0.00,0.00,-1669.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1433.59,0.00,0.00,-0.13,-0.13
4.00,-2656.47,0.00,0.00,0.00,0.00,0.00,0.00,-1669.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2656.47,0.00,0.00,-0.03,-0.03
5.00,-6187.69,0.00,0.00,0.00,0.00,0.00,0.00,-1669.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6187.69,0.00,0.00,-0.04,-0.04
6.00,374.10,0.00,0.00,0.00,0.00,0.00,0.00,-1669.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,374.10,0.00,0.00,0.02,0.02
7.00,-125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.15,-0.15
8.00,-1026.60,0.00,0.00,0.00,0.00,0.00,0.00,-266.00,-26.60,1026.60,0.00,0.00,0.00,0.00,0.00,-26.60,0.00,0.00,0.00,0.00
9.00,-1713.73,0.00,0.00,0.00,0.00,0.00,0.00,-266.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,-713.73,0.00,0.00,-0.03,-0.03
10.00,-3946.28,0.00,0.00,0.00,0.00,0.00,0.00,-266.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,-1946.28,0.00,0.00,-0.03,-0.03
11.00,-5989.29,0.00,0.00,0.00,0.00,0.00,0.00,-266.00,2000.00,0.00,0.00,0.00,0.00,-51.94,0.00,-3989.29,0.00,0.00,-0.03,-0.03
12.00,1523.72,0.00,0.00,0.00,0.00,0.00,0.00,-266.00,0.00,0.00,0.00,0.00,0.00,-2004.82,0.00,1523.72,0.00,0.00,0.07,0.07
13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,-333.97,0.00,0.00,0.00,0.00,0.00,0.00,-3339.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-333.97,0.00,0.00,0.00,-0.00
15.00,-769.79,0.00,0.00,0.00,0.00,0.00,0.00,-3339.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-769.79,0.00,0.00,-0.03,-0.03
16.00,-1969.79,0.00,0.00,0.00,0.00,0.00,0.00,-3339.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1969.79,0.00,0.00,-0.03,-0.03
17.00,-5313.35,0.00,0.00,0.00,0.00,0.00,0.00,-3339.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5313.35,0.00,0.00,-0.03,-0.03
18.00,-20824.52,0.00,0.00,0.00,0.00,0.00,0.00,-3339.66,0.00,0.00,0.00,0.00,0.00,-1495.16,0.00,-20824.52,0.00,0.00,-0.03,-0.03
19.00,-125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.15,-0.15
20.00,-600.00,0.00,0.00,0.00,0.00,0.00,0.00,1489.34,148.93,600.00,0.00,0.00,0.00,0.00,0.00,148.93,0.00,0.00,0.00,0.00
21.00,-1034.64,0.00,0.00,0.00,0.00,0.00,0.00,1561.34,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.64,0.00,0.00,-0.03,-0.03
22.00,-2234.64,0.00,0.00,0.00,0.00,0.00,0.00,1561.34,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,-1234.64,0.00,0.00,-0.03,-0.03
23.00,-6088.10,0.00,0.00,0.00,0.00,0.00,0.00,1561.34,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,-4088.10,0.00,0.00,-0.03,-0.03
24.00,-20824.52,0.00,0.00,0.00,0.00,0.00,0.00,1561.34,0.00,0.00,0.00,0.00,0.00,-3112.49,0.00,-20824.52,0.00,0.00,-0.03,-0.03
25.00,-75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.00,-1200.00,0.00,0.00,0.00,0.00,0.00,0.00,1489.34,148.93,1200.00,0.00,0.00,0.00,0.00,0.00,148.93,0.00,0.00,0.00,0.00
27.00,-1299.49,0.00,0.00,0.00,0.00,0.00,0.00,6462.34,1326.11,673.89,0.00,0.00,0.00,0.00,0.00,700.51,0.00,0.00,-0.03,-0.03
28.00,-2499.49,0.00,0.00,0.00,0.00,0.00,0.00,6462.34,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,-499.49,0.00,0.00,-0.03,-0.03
29.00,-6862.85,0.00,0.00,0.00,0.00,0.00,0.00,6462.34,4000.00,0.00,0.00,0.00,0.00,0.00,0.00,-2862.85,0.00,0.00,-0.03,-0.03
30.00,-20824.52,0.00,0.00,0.00,0.00,0.00,0.00,6462.34,0.00,0.00,0.00,0.00,0.00,-4729.82,0.00,-20824.52,0.00,0.00,-0.03,-0.03
31.00,-75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.00,-1125.00,0.00,0.00,0.00,0.00,0.00,0.00,1489.34,148.93,1125.00,0.00,0.00,0.00,0.00,0.00,148.93,0.00,0.00,-0.15,-0.15
33.00,-1686.49,0.00,0.00,0.00,0.00,0.00,0.00,11363.34,1313.51,1686.49,0.00,0.00,0.00,0.00,0.00,1313.51,0.00,0.00,0.02,0.02
34.00,-2764.34,0.00,0.00,0.00,0.00,0.00,0.00,11363.34,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,235.66,0.00,0.00,-0.03,-0.03
35.00,-7637.60,0.00,0.00,0.00,0.00,0.00,0.00,11363.34,6000.00,0.00,0.00,0.00,0.00,0.00,0.00,-1637.60,0.00,0.00,-0.03,-0.03
